,i,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
0,1,0.002395033836364746,0.7343147039413452,0.20942585468292235,0.061286401748657224,1.0,0.06384618282318115,0.08742213249206543
1,2,0.0013416767120361327,0.006005144119262696,0.0009815454483032226,0.010151505470275879,0.9,0.00017397403717041017,0.00035703182220458984
2,3,0.00016944408416748048,0.0018705368041992188,0.0008709907531738281,0.009416747093200683,0.9,0.0002518177032470703,0.0004472255706787109
3,4,0.0003616571426391602,0.0022982358932495117,0.0010746002197265625,0.009660768508911132,0.5,0.0002496004104614258,0.0003497838973999023
4,5,0.0008118152618408203,0.0020649194717407226,0.003375124931335449,0.009590363502502442,0.3,0.0006763458251953125,0.000497126579284668
5,6,0.0018446683883666993,0.0018473386764526368,0.0020087003707885743,0.008669471740722657,0.3,0.0013766527175903321,0.00037763118743896487
6,7,0.007104825973510742,0.0018946170806884766,0.002026867866516113,0.008575105667114257,0.4,0.0049295186996459964,0.0004100322723388672
7,8,0.049239063262939455,0.002124977111816406,0.00213015079498291,0.008672094345092774,0.2,0.04615769386291504,0.0004090309143066406
8,9,0.19226365089416503,0.00566248893737793,0.004210710525512695,0.008633589744567871,0.0,0.17806775569915773,0.0005477428436279297
9,10,0.7568403005599975,0.017672395706176756,0.010122537612915039,0.008787417411804199,0.1,0.6944841146469116,0.0005905628204345703
10,11,3.111280417442322,0.0564307689666748,0.030416297912597656,0.012200403213500976,0.0,2.818385887145996,0.0007176876068115234
