,i,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
0,1,0.00029881000518798827,0.02466874122619629,0.003915190696716309,0.007730436325073242,1.0,0.0014678955078125,0.0007669687271118164
1,2,7.829666137695312e-05,0.0023012876510620115,0.0005848169326782227,0.0060843944549560545,0.9,0.00011525154113769531,0.00020110607147216797
2,3,0.00012598037719726562,0.0015598058700561524,0.0006304502487182618,0.006020689010620117,0.4,0.00017609596252441407,0.000196075439453125
3,4,0.000174713134765625,0.0015764713287353515,0.0005995988845825196,0.006704139709472656,0.4,0.00016965866088867188,0.00019590854644775392
4,5,0.0033797979354858398,0.0016660213470458985,0.001831197738647461,0.006798458099365234,0.3,0.00030596256256103515,0.00019576549530029297
5,6,0.00114593505859375,0.0015820980072021485,0.0017585992813110352,0.006809401512145996,0.4,0.0010113239288330079,0.00020251274108886718
6,7,0.01258866786956787,0.002094268798828125,0.0017963171005249024,0.00685269832611084,0.3,0.007046198844909668,0.00023565292358398437
7,8,0.02988133430480957,0.00529632568359375,0.003630542755126953,0.006875872611999512,0.2,0.06563975811004638,0.00027081966400146487
8,9,0.11769955158233643,0.01569676399230957,0.003573918342590332,0.0069504261016845705,0.0,0.2568922281265259,0.00040602684020996094
9,10,0.4652029752731323,0.06120631694793701,0.009617018699645995,0.008202481269836425,0.1,0.9940707445144653,0.00046048164367675783
10,11,2.0013209104537966,0.2325206995010376,0.03295068740844727,0.013597798347473145,0.0,4.707950472831726,0.030630087852478026
