,i,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
0,1,8.60452651977539e-05,0.03079366683959961,0.004661369323730469,0.008157658576965331,1.0,0.0002458810806274414,0.016833734512329102
1,2,7.944107055664062e-05,0.0026918649673461914,0.0006258010864257813,0.006861996650695801,0.7,0.00011641979217529297,0.0001981496810913086
2,3,0.00011949539184570312,0.0015712261199951171,0.0006192922592163086,0.006046795845031738,0.5,0.00012714862823486327,0.00019347667694091797
3,4,0.00018556118011474608,0.0018963336944580079,0.000602269172668457,0.007382583618164062,0.6,0.00016808509826660156,0.00019488334655761718
4,5,0.0004828453063964844,0.0016722917556762696,0.0029629230499267577,0.006990814208984375,0.3,0.0003841400146484375,0.00020933151245117188
5,6,0.0012883424758911132,0.0016178131103515626,0.0017818689346313476,0.006805920600891113,0.5,0.0010715007781982421,0.00020644664764404296
6,7,0.004747962951660157,0.002285194396972656,0.0017850399017333984,0.006824469566345215,0.2,0.014297270774841308,0.00024330615997314453
7,8,0.03030693531036377,0.005311441421508789,0.0029316186904907227,0.006856513023376465,0.6,0.06317181587219238,0.0002679586410522461
8,9,0.11704566478729247,0.017792344093322754,0.0036437511444091797,0.006903505325317383,0.1,0.24975721836090087,0.0005236625671386719
9,10,0.508910846710205,0.06084527969360352,0.00959639549255371,0.008404755592346191,0.1,0.9933618068695068,0.0004724740982055664
10,11,1.9262573719024658,0.2305312156677246,0.03299040794372558,0.013821768760681152,0.2,5.037030744552612,0.05072708129882812
