,i,numpy,cupy,kernel,ann,recall_rate,torch_cpu,torch_gpu
0,1,0.0012269973754882812,0.005861425399780273,0.00303194522857666,0.005038619041442871,1.0,0.008929634094238281,0.009607815742492675
1,2,7.152557373046875e-05,0.0014841079711914063,0.0005085945129394531,0.005176997184753418,0.8,0.00010075569152832032,0.00017943382263183594
2,3,0.00010607242584228515,0.001443624496459961,0.0005091667175292969,0.00518796443939209,0.3,0.00011441707611083984,0.0001786947250366211
3,4,0.0001780986785888672,0.0014485359191894532,0.0005114316940307617,0.005826139450073242,0.7,0.0001470804214477539,0.00017604827880859374
4,5,0.00038449764251708985,0.0014960050582885742,0.0016240835189819335,0.0059537172317504885,0.3,0.00027077198028564454,0.0001778125762939453
5,6,0.001392054557800293,0.001481175422668457,0.001685953140258789,0.0059806108474731445,0.2,0.0010447502136230469,0.00018947124481201173
6,7,0.006450867652893067,0.0015433073043823243,0.001649165153503418,0.005981612205505371,0.0,0.0057647705078125,0.00021812915802001953
7,8,0.04167969226837158,0.0021273612976074217,0.0020638465881347655,0.00617368221282959,0.2,0.062073898315429685,0.0002464771270751953
8,9,0.1619422435760498,0.0050771236419677734,0.003567337989807129,0.006106948852539063,0.1,0.2483151912689209,0.0003893613815307617
9,10,0.6843735456466675,0.015923261642456055,0.009012460708618164,0.007350373268127442,0.3,0.9938881397247314,0.00047149658203125
10,11,2.6458824634552003,0.059723615646362305,0.030626702308654784,0.01166694164276123,0.2,4.713171076774597,0.025246381759643555
